texto,texto_limpio,insulto,amenaza,rumores_difamatorios,comentarios_humillantes,lenguaje_discriminatorio,acoso_sexual,manipulacion_emocional,lenguaje_vulgar,acoso_general,redes_sociales,suicidio_autolesion
"La sapa hijueputa Boda de ella? Si, tiene que ser la mejor",sapa hijueputa boda si ser mejor,False,False,False,False,True,False,False,True,False,False,False
"Sapa hijueputa casi se lo come con la mirada, ofrecida, regalada.",sapa hijueputa casi come mirada ofrecida regalada,False,False,False,False,True,False,False,True,False,False,False
"Uy sapa hijueputa, me dolió la cabeza 🤯",uy sapa hijueputa dolió cabeza,False,False,False,False,True,False,False,True,False,False,False
Por mi muerase sapa hijueputa.,muerase sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
En la sapa hijueputa vida vuelvo a comprar en Carulla.,sapa hijueputa vida vuelvo comprar carulla,False,False,False,False,True,False,False,True,False,False,False
Siempre tienes hambre gorda sapa hijueputa,siempre hambre gorda sapa hijueputa,True,False,False,False,True,False,False,True,False,False,False
Sapa hijueputa borrachiza me metí ayer. Cuánto la necesitaba.,sapa hijueputa borrachiza metí ayer cuánto necesitaba,False,False,False,False,True,False,False,True,False,False,False
Te voy a matar,voy matar,False,True,False,False,False,False,False,False,False,False,False
Me duelen las nalgas de la pedaleada TAN SAPA HIJUEPUTA que me pegué ayer.,duelen nalgas pedaleada tan sapa hijueputa pegué ayer,False,False,False,False,True,False,False,True,False,False,False
Y yo te voy a matar a golpes,voy matar golpes,False,True,False,False,False,False,False,False,False,False,False
"Voy a empezar 2018 endeudado pero que hijueputa hoy se acaba el año y el cielo puede esperar, sapa hijueputa",voy empezar endeudado hijueputa hoy acaba año cielo puede esperar sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
Muerase usted sola habemos personas que vivimos muy bueno y somos felices .,muerase usted sola habemos personas vivimos bueno felices,False,False,False,False,False,False,False,False,False,False,False
"Que traga tan sapa hijueputa, jajaja lo peor es que no la voy a volver a ver😔.",traga tan sapa hijueputa jajaja peor voy volver ver,False,False,False,False,True,False,False,True,False,False,False
Ese insecto lo odio,insecto odio,False,False,False,False,False,False,False,False,False,False,False
"Justo anoche lo estaba viendo, me llamo mucha la atencion como movia las pinzas que tiene a los lados como si fueran dos manos, es un insecto impresionante!!!",justo anoche viendo llamo mucha atencion movia pinzas lados si dos manos insecto impresionante,False,False,False,False,False,False,False,False,False,False,False
Más Mamerto sos vos baboso insecto que todo lo que hablas son estupideces y lo que te dicen que digas bobo HP,mamerto sos vos baboso insecto hablas estupideces dicen digas bobo hp,True,False,False,False,False,False,False,False,False,False,False
Un insecto se llama bicho.. encontré mi muñeca para saludar bicho y tomar fotos.   Gracias,insecto llama bicho encontré muñeca saludar bicho tomar fotos gracias,False,False,False,False,False,False,False,False,False,False,False
"la leche con la que cuajaron a este insecto, no tenías proteínas, será que hubo algún incesto??",leche cuajaron insecto proteínas algún incesto,False,False,False,False,False,False,False,False,False,False,False
¿Alguien sabe qué insecto es este?,alguien sabe insecto,False,False,False,False,False,False,False,False,False,False,False
"te puedes meter la opinión y el dedo, no, mejor la mano completa por el orto con dirección a tu cerebro. 😘
Con cariño y las mejores intenciones.
Jajajajajajaja insignificante insecto.",puedes meter opinión dedo mejor mano completa orto dirección cerebro cariño mejores intenciones jajajajajajaja insignificante insecto,False,False,False,False,False,False,False,False,False,False,False
"Hola, por favor me ayudas. Tenemos una plaga de este insecto en casa y no sabemos qué  es ni cómo combatirla.
Vivo en colombia, Cali, Valle del Cauca, zona del Pacífico colombiano.",hola favor ayudas plaga insecto casa sabemos cómo combatirla vivo colombia cali valle cauca zona pacífico colombiano,False,False,False,False,False,False,False,False,False,False,False
Insecto,insecto,False,False,False,False,False,False,False,False,False,False,False
Ya me sigues pequeño insecto 🦟,sigues pequeño insecto,False,False,False,False,False,False,False,False,False,False,False
Que clase de insecto eres,clase insecto,False,False,False,False,False,False,False,False,False,False,False
Uno se hace el bobo y yo que me entero de todo.,hace bobo entero,False,False,False,False,False,False,False,False,False,False,False
Hasta mi abuela en estado vegetal juega mejor que vos,abuela vegetal juega mejor vos,False,False,False,False,False,False,False,False,False,False,False
Lo que cuenta mancuso no es por cuestiones de falta de pauta… no se haga el bobo.,cuenta mancuso cuestiones falta pauta haga bobo,False,False,False,False,False,False,False,False,False,False,False
Ya cállese bobo…deje de hablar estúpideces,cállese bobodeje hablar estúpideces,False,False,False,False,False,False,False,False,False,False,False
Yo bien complicada y en serio me termina gustando ese pedazo de bobo uy no,bien complicada serio termina gustando pedazo bobo uy,False,False,False,False,False,False,False,False,False,False,False
Jajajaja Bobo hijueputa,jajajaja bobo hijueputa,False,False,False,False,True,False,False,False,False,False,False
"No hay pregunta boba, es bobo el que no pregunta.",pregunta boba bobo pregunta,False,False,False,False,False,False,False,False,False,False,False
Vaya que. Le den pene... Bobo hp,vaya den pene bobo hp,False,False,False,False,False,False,False,False,False,False,False
No es bobo✨aferrándote a algo que en el momento te da felicidad por querer estar ahí ✨analiza seras feliz con su forma de tratarte su manera de vivir  no ruegues es un casi algo no lo conoces bien mejor persona vendrá amor propio si no te amas a ti como vas a decir amar a otro,boboaferrándote momento da felicidad querer ahí analiza seras feliz forma tratarte manera vivir ruegues casi conoces bien mejor persona vendrá amor propio si amas vas decir amar,False,False,True,False,False,False,False,False,False,False,False
"Malparido bobo, se nota que sos bien acosador",malparido bobo nota sos bien acosador,False,False,False,False,False,False,False,False,False,False,False
"Ay no mor, usted tan grande y tan bobo, da 3 pesares",ay mor usted tan grande tan bobo da pesares,False,False,False,False,False,False,False,False,False,False,False
Pobre bobo hijueputa....no sabe que escribir esta gonorrea drogadicto malparido,pobre bobo hijueputano sabe escribir gonorrea drogadicto malparido,False,False,False,False,True,False,False,False,False,False,False
Si saben qué tal bajada no es más que una guerra de marketing en la que quedo en medio un bobo útil no? 🫨,si saben tal bajada guerra marketing quedo medio bobo útil,False,False,False,False,False,False,False,False,False,False,False
Bobo hpta dudo mucho que Rosita so lo vaya a dar malparido,bobo hpta dudo rosita so vaya dar malparido,False,False,False,False,False,False,False,False,False,False,False
Tranqui bichota todas hemos chupado una monda de un bobo JAJJAJAJA,tranqui bichota todas chupado monda bobo jajjajaja,False,False,False,False,False,False,False,True,False,False,False
Ese mk tiene la cara de bobo más hpta,mk cara bobo hpta,False,False,False,False,False,False,False,False,False,False,False
"Odio esos videos, un bobo ahí X haciéndola pasar un momento súper incómodo",odio videos bobo ahí x haciéndola pasar momento súper incómodo,False,False,False,False,False,False,False,False,False,False,False
"Bobo hpta, si vos",bobo hpta si vos,False,False,False,False,False,False,False,False,False,False,False
"ya deja a la Kendall no te merece, y te hace parecer bobo",deja kendall merece hace parecer bobo,False,False,False,False,False,False,False,False,False,False,False
De que hablas bobo si a tu madre la tengo al día ?,hablas bobo si madre día,False,False,False,False,False,False,False,False,False,False,False
ESTAMOS HARTOS NOS CREAN PUEBLO BOBO.. CLARO QUE HAY UNA MITAD SE HACEN LOS BOBOS POR 💰💶💶💶💵💵,hartos crean pueblo bobo claro mitad hacen bobos,False,False,False,False,False,False,False,False,False,False,False
Y vos sos un bobo hijo de puta.,vos sos bobo hijo puta,False,False,False,False,True,False,False,False,False,False,False
Todos los días sale un bobo a la calle🎶,días sale bobo calle,False,False,False,False,False,False,False,False,False,False,False
"Que va tonto, saliste poeta como el tontorrón inicial o que? ",va tonto saliste poeta tontorrón inicial,True,False,False,False,False,False,False,False,False,False,False
"Pues a mi el techno no me mata, pero el que diga que afterlife es un mal parche es un bobo",pues techno mata diga afterlife mal parche bobo,False,False,False,False,False,False,False,False,False,False,False
Váyase a la gran puta mierda bobo hp,váyase gran puta mierda bobo hp,False,False,False,False,True,False,False,True,False,False,False
"Yo no sirvo pa rogarle a nadie, no querés caminar conmigo? abrite bobo",sirvo pa rogarle nadie querés caminar conmigo abrite bobo,False,False,False,False,False,False,False,False,False,False,False
"No le hagan caso, es un bobo hp con 68 seguidores que paga verificación en twitter. 🤣",hagan caso bobo hp seguidores paga verificación twitter,False,False,False,False,False,False,False,False,False,False,False
Feminicidio!! Bobo oportunista,feminicidio bobo oportunista,False,False,False,False,False,False,False,False,False,False,False
"😂😂😂 Dizque doctorado en mi corazón 😂😂 Bobo hp 😂😂 en tu culo es que tiene un doctorado, guayaba hp 👬🤪💩",dizque doctorado corazón bobo hp culo doctorado guayaba hp,False,False,False,False,False,False,False,True,False,False,False
"Jajajajaj hay que ser muyyyy descarado para decir esto, bobo",jajajajaj ser muyyyy descarado decir bobo,False,False,False,False,False,False,False,False,False,False,False
"Viene a hablar, un bobo lleno de colada, que ni jugara fútbol",viene hablar bobo lleno colada jugara fútbol,False,False,False,False,False,False,False,False,False,False,False
"Ponga a CUALQUIER perro en un ambiente que le genere estrés a ver cómo reacciona, no importa la raza, cuando quieren morder solo lo harán, asi que deje de hablar tanta bobada.",ponga cualquier perro ambiente genere estrés ver cómo reacciona importa raza quieren morder solo harán asi deje hablar tanta bobada,False,False,False,False,False,False,False,False,False,False,False
Bobo marica,bobo marica,False,False,False,False,True,False,False,False,False,False,False
Petrogustavo no tiene la culpa de que las EMPRESAS PRIVADAS quiebren por su mala administración. ¡Bobo!,petrogustavo culpa empresas privadas quiebren mala administración bobo,False,False,False,False,False,False,False,False,False,False,False
Tiene una cara de bobo q no puede con ella,cara bobo q puede,False,False,False,False,False,False,False,False,False,False,False
"Bobo, para muchos la mamá está por sobre todas las cosas.",bobo mamá todas cosas,False,False,False,False,False,False,False,False,False,False,False
Jajajajaajaj vaya a que le den por el culo bobo cagao,jajajajaajaj vaya den culo bobo cagao,False,False,False,False,False,False,False,True,False,False,False
Lo que ud propone es darle un arma a más hombres celosos para que anden por ahí matando. Seguro la vieja hubiera querido estar trabajando en la pizzería con un fierro en el cinto. Bobo. Por criticar al gobierno dicen cualquier estupidez.,ud propone darle arma hombres celosos anden ahí matando seguro vieja querido trabajando pizzería fierro cinto bobo criticar gobierno dicen cualquier estupidez,False,False,False,False,False,False,False,False,False,False,False
Deja de meter perico bobo hpta,deja meter perico bobo hpta,False,False,False,False,False,False,False,False,False,False,False
"El que no entiende un culo es ud, bruto, lea bien que ahí ni siquiera habla de situación militar definida sino de NO PORTAR. En cualquier caso, eso no tiene nada que ver con el crimen. Bobo",entiende culo ud bruto lea bien ahí siquiera habla situación militar definida sino portar cualquier caso ver crimen bobo,False,False,False,False,False,False,False,True,False,False,False
Este le está ganando el puesto a bobo polo,ganando puesto bobo polo,False,False,False,False,False,False,False,False,False,False,False
"Se habían demorado los Rambo de teclado en salir a decir ""yo hubiese hecho esto, yo habría hecho aquello"" y va uno a ver y son los pendejos que se asustan con un tote. Mero bobo ",demorado rambo teclado salir decir hecho hecho aquello va ver pendejos asustan tote mero bobo,False,False,False,False,False,False,False,True,False,False,False
"Imbecil, parásito, bobo hp",imbecil parásito bobo hp,False,False,False,False,False,False,False,False,False,False,False
"Ese bobo h.p que hizo chiste de la muerte de la DJ, la que empacaron en una maleta. Pena deberían darles en sacar una noticia de ese señor.",bobo hp hizo chiste muerte dj empacaron maleta pena deberían darles sacar noticia señor,False,False,False,False,False,False,False,False,False,False,False
Vos sos un bobo hijueputa de buena que si,vos sos bobo hijueputa buena si,False,False,False,False,True,False,False,False,False,False,False
Tratar de bobo a un adulto mayor con bastón…,tratar bobo adulto mayor bastón,False,False,True,False,False,False,False,False,False,False,False
Vaya duerma bobo,vaya duerma bobo,False,False,False,False,False,False,False,False,False,False,False
ser adulto es aprender a hacerte cargo de las consecuencias de tus actos y pues nadie te va a salvar más que tú mismo 🤷🏽‍♀️,ser adulto aprender hacerte cargo consecuencias actos pues nadie va salvar mismo,False,False,False,False,False,False,False,False,False,False,False
"Hagamos una vaca para ayudarle a pagar, y le dejamos para unas 80 insultadas más a ese parásito",hagamos vaca ayudarle pagar dejamos unas insultadas parásito,False,False,False,False,False,False,False,False,False,False,False
"Esa sensación de que nadie te va a salvar, ni siquiera tu fuerza física, de los embates de tu espíritu",sensación nadie va salvar siquiera fuerza física embates espíritu,False,False,False,False,False,False,False,False,False,False,False
Basura le queda poco inservible ya te va a llegar tu hora,basura queda inservible va llegar hora,False,False,False,False,False,False,False,False,False,False,False
Nadie te va a salvar Tu eres el responsable de tu propia vida.,nadie va salvar responsable propia vida,False,False,False,False,False,False,False,False,False,False,False
A ti también ya te va a llegar tú hora así que prepárate si sigues jodiendo te irá peor,va llegar hora así prepárate si sigues jodiendo irá peor,False,False,False,False,False,False,False,False,False,False,False
Cállese más bien que yo me ilusiono cada semana,cállese bien ilusiono cada semana,False,False,False,False,False,False,False,False,False,False,False
"por que HUYES, COBARDE. Estas perdido y nadie te va a salvar.",huyes cobarde perdido nadie va salvar,False,False,False,False,False,False,False,False,False,False,False
Cállese Jennifer que la alcaldesa no dijo nada de eso. Deje de politizar esta tragedia. Resultaste igualita a los políticos de siempre. Sos una decepción.,cállese jennifer alcaldesa dijo deje politizar tragedia resultaste igualita políticos siempre sos decepción,False,False,False,False,False,False,False,False,False,False,False
Ya cállese bobo…deje de hablar estúpideces y vuélvase serio.,cállese bobodeje hablar estúpideces vuélvase serio,False,False,False,False,False,False,False,False,False,False,False
El hpta del Uber se pone a hablar mierda y a manejar lento en uno de los barrios más peligrosos de Cali a las 2 a.m. Me daban ganas de decirle: SEÑOR CÁLLESE Y MANEJE RÁPIDO,hpta uber pone hablar mierda manejar lento barrios peligrosos cali am daban ganas decirle señor cállese maneje rápido,False,False,False,False,False,False,False,True,False,False,False
Mejor cállese usted que tiene más de un n pronombre en la bio. Su opinión no cuenta 🤣,mejor cállese usted n pronombre bio opinión cuenta,False,False,False,False,False,False,False,False,False,False,False
"Ajjajjaa cállese vieja sin vergüenza, estás ardida por qué se les está acabando la plática a sus jefes mañosos, recuerde que para dar un golpe de estado tienen que enfrentarse con muchos ciudadanos que escogimos este gobierno, asi que miedo no nos da ustedes payasos.",ajjajjaa cállese vieja vergüenza ardida acabando plática jefes mañosos recuerde dar golpe enfrentarse ciudadanos escogimos gobierno asi miedo da ustedes payasos,False,False,False,False,False,False,False,False,False,False,False
Cállese vieja puta.,cállese vieja puta,False,False,False,False,True,False,False,False,False,False,False
"JAJAJAJ vea, cállese si ?",jajajaj vea cállese si,False,False,False,False,False,False,False,False,False,False,False
Ya cállese señora,cállese señora,False,False,False,False,False,False,False,False,False,False,False
"Papi, callese que acuérdese que los que mandan y aprueban hacer esos proyectos son las productoras, los guionistas solo hacen lo que el director les manda a hacer.",papi callese acuérdese mandan aprueban hacer proyectos productoras guionistas solo hacen director manda hacer,False,False,False,False,False,False,False,False,False,False,False
"Cállese, lambón",cállese lambón,False,False,False,False,False,False,False,False,False,False,False
"Aíslese, si piensa en violentar a alguien. Cállese, si piensa crear una conversación tensa para justificar la explosión que quiere detonar. Váyase, si va a usar a los demás como su pelotita ""anti estrés"", y borre la indirecta innecesaria que va a escribir",aíslese si piensa violentar alguien cállese si piensa crear conversación tensa justificar explosión quiere detonar váyase si va usar demás pelotita anti estrés borre indirecta innecesaria va escribir,False,False,False,False,False,False,False,False,False,False,False
Cállese perra,cállese perra,False,False,False,False,False,True,False,False,False,False,False
"La bellaca esta qué dice que ama la democracia cuando ganan, pero cuando la pierden no le gusta a mi el caso de ese coronel qué anda pregonando golpe de estado eso fue avalado por usted. Cállese mija trabaje vaga le pagan por trabaje se la pasa trinando pendejadas.",bellaca dice ama democracia ganan pierden gusta caso coronel anda pregonando golpe avalado usted cállese mija trabaje vaga pagan trabaje pasa trinando pendejadas,False,False,False,False,False,False,False,False,False,False,False
"Cállese viejo marica, usted es un bobo triple hijueputa",cállese viejo marica usted bobo triple hijueputa,False,False,False,False,True,False,False,False,False,False,False
Señor usted no estuvo dentro de la uci así que mejor cállese,señor usted dentro uci así mejor cállese,False,False,False,False,False,False,False,False,False,False,False
Ese tipo cada que dice algo la caga más! Ya cállese señor!!! 🙄,tipo cada dice caga cállese señor,False,False,False,False,False,False,False,False,False,False,False
Jajajaja cállese. Esos curtidos no pudieron ni ganar una guerra 🤣😂,jajajaja cállese curtidos pudieron ganar guerra,False,False,False,False,False,False,False,False,False,False,False
Cállese burro,cállese burro,False,False,False,False,False,False,False,False,False,False,False
"Yo no te voy a buscar , si te veo es por que se da",voy buscar si veo da,False,False,False,False,False,False,False,False,False,False,False
Ya cállese señora!!!!! Ni callada se ve bien,cállese señora callada ve bien,False,False,False,False,False,False,False,False,False,False,False
baby apaga el celular te voy a buscar a las 12,baby apaga celular voy buscar,False,False,False,False,False,False,False,False,False,False,False
Cállese ud me cae mal,cállese ud cae mal,False,False,False,False,False,False,False,False,False,False,False
Te voy a buscar en mis sueños esta noche. 😻,voy buscar sueños noche,False,False,False,False,False,False,False,False,False,False,False
Te voy a buscar,voy buscar,False,False,False,False,False,False,False,False,False,False,False
No busco ni el par de mis medias y te voy a buscar a vos jajajaj🤌🏻🤌🏻,busco par medias voy buscar vos jajajaj,False,False,False,False,False,False,False,False,False,False,False
"no sé quien habra citado esto en candado pero q sepas q te voy a buscar, te voy a encontrar y te voy a matar",sé habra citado candado q sepas q voy buscar voy encontrar voy matar,False,True,False,False,False,False,False,False,False,False,False
Hoy te voy a buscar.,hoy voy buscar,False,False,False,False,False,False,False,False,False,False,False
"te voy a buscar y te voy a encontrar, cerdo",voy buscar voy encontrar cerdo,False,False,False,False,False,False,False,False,False,False,False
Te voy a buscar siempre en el cielo porque pienso que en algún lugar también lo estarás viendo.,voy buscar siempre cielo pienso algún lugar viendo,False,False,False,False,False,False,False,False,False,False,False
te voy a buscar a la escuela,voy buscar escuela,False,False,False,False,False,False,False,False,False,False,False
te extraño pero no te voy a buscar nunca más,extraño voy buscar nunca,False,False,False,False,False,False,False,False,False,False,False
Te voy a buscar y cuando te encuentre te voy a meter un traque,voy buscar encuentre voy meter traque,False,False,False,False,False,False,False,False,False,False,False
"Cali es la sucursal del despilfarro y la corrupción,por eso hoy es la ciudad más abandonada y fea de Colombia en todos los sentidos,se perdió todo.",cali sucursal despilfarro corrupciónpor hoy ciudad abandonada fea colombia sentidosse perdió,True,False,False,False,False,False,False,False,False,False,False
"También se pego de esa perra fea , la otra bn dormida como no sintió ",pego perra fea bn dormida sintió,True,False,False,False,False,True,False,False,False,False,False
"Un treinton me anda ligando diciéndome ""fea"" 🤡🤣 señor así se ligaba antes, ya no",treinton anda ligando diciéndome fea señor así ligaba,True,False,False,False,False,False,False,False,False,False,False
"Pensé que lo había visto todo, pero los ❤️ en las fotos de esa fea ya es mucho.",pensé visto fotos fea,True,False,False,False,False,False,False,False,False,False,False
La estética de los celulares cada vez está más fea que nunca,estética celulares cada vez fea nunca,True,False,False,False,False,False,False,False,False,False,False
"flaca, te voy a buscar y te voy a arrancar las colitas con UNA SIERRA ELÉCTRICA",flaca voy buscar voy arrancar colitas sierra eléctrica,False,False,False,False,False,False,False,False,False,False,False
Que sirenita tan fea. La embarraron,sirenita tan fea embarraron,True,False,False,False,False,False,False,False,False,False,False
Pero tú eres una mujer promedio tirando a fea. Obviamente no atraes nada.,mujer promedio tirando fea obviamente atraes,True,False,False,False,False,False,False,False,False,False,False
"Que Hp cuenta tan caraaaaaaa y que comida tan fea, me sentí estafado en ese restaurante. 🙃🙃🙃",hp cuenta tan caraaaaaaa comida tan fea sentí estafado restaurante,True,False,False,False,False,False,False,False,False,False,False
"si te dicen una mentira ( que hermosa) Malo, si te dicen la verdad (Fea) es malo,  en fin son muy difíciles porque tienen que ser así ",si dicen mentira hermosa malo si dicen verdad fea malo fin difíciles ser así,True,False,False,False,False,False,False,False,False,False,False
pero es fea la tipa que pecao,fea tipa pecao,True,False,False,False,False,False,False,False,False,False,False
"Yo no soy idiota como tú, vieja fea y pendeja.",idiota vieja fea pendeja,True,False,False,False,False,False,False,False,False,False,False
"Ese ya es otro cuento, la fea es la costeña 🤣",cuento fea costeña,True,False,False,False,False,False,False,False,False,False,False
parce que ceviche tan feo el que me acabé de comer 😪 o sea pagar por comida fea????,parce ceviche tan feo acabé comer pagar comida fea,True,False,False,False,False,False,False,False,False,False,False
"Uno se pone a ver los manes que critican a Shakira y la tratan de fea, vieja y no sé qué más y está más atractivo un gargajo de vicioso que ellos.",pone ver manes critican shakira tratan fea vieja sé atractivo gargajo vicioso,True,False,True,False,False,False,False,False,False,False,False
"Confirmo, ahora que me estoy viendo Betty la fea me doy cuenta que Marcela también fue victima de Armando",confirmo ahora viendo betty fea doy cuenta marcela victima armando,True,False,False,False,False,False,False,False,False,False,False
"Trans de Gorda fea y ridícula, tran de bruta incoherente",trans gorda fea ridícula tran bruta incoherente,True,False,False,False,False,False,False,False,False,False,False
Esa perra fea,perra fea,True,False,False,False,False,True,False,False,False,False,False
Travesti invertido deja de llorar que te vas a deshidratar 🤡,travesti invertido deja llorar vas deshidratar,False,False,True,False,False,False,False,False,False,False,False
Que? Entonces porque un travesti se viste de mujer 😵‍💫 porque se percibe como hombre? No tiene mucho sentido. Es diferente percibirse de un género y que le guste el mismo o el contrario o diferentes generos. Pero la identidad si hace parte de como nos vestimos.,entonces travesti viste mujer percibe hombre diferente percibirse género guste mismo contrario diferentes generos identidad si hace parte vestimos,False,False,False,False,False,False,False,False,False,False,False
Travesti inmundo!,travesti inmundo,False,False,False,False,False,False,False,False,False,False,False
"Travestí sumerce, que pretende ser machito, pero se hace llamar aleja. Fresca aleja, salga de ese closet donde aparenta tanto uribismo.",travestí sumerce pretende ser machito hace llamar aleja fresca aleja salga closet aparenta uribismo,False,False,False,False,False,False,False,False,False,False,False
Ayer comí tantas alitas BBQ que hoy amanecí travesti.,ayer comí tantas alitas bbq hoy amanecí travesti,False,False,False,False,False,False,False,False,False,False,False
"Anda a venderle fotos a toda esa manada de cacorros, travesti de vereda",anda venderle fotos toda manada cacorros travesti vereda,False,False,False,False,False,False,False,False,False,False,False
Ese momento de Raven me volvió travesti,momento raven volvió travesti,False,False,False,False,False,False,False,False,False,False,False
El del bus no entendió la hora travesti jijijiji,bus entendió hora travesti jijijiji,False,False,False,False,False,False,False,False,False,False,False
CHAOOOO SAPA HPTAAAAA... MORITE CON TU MADRE HPTAAAAAA,chaoooo sapa hptaaaaa morite madre hptaaaaaa,False,False,False,False,False,False,False,True,False,False,False
"Uy morite, cómo te vas a meter con mi Karol G",uy morite cómo vas meter karol g,False,False,False,False,False,False,False,False,False,False,False
"Dios mediante esta semana me acaban el nombre 🙄 Rudy, esto, Rudy lo otro, Rudy morite",dios mediante semana acaban nombre rudy rudy rudy morite,False,False,False,False,False,False,False,False,False,False,False
EDUARDO LUIS ESCORIA HIJUEPUTA MORITE,eduardo luis escoria hijueputa morite,False,False,False,False,True,False,False,False,False,False,False
Morite de hambre,morite hambre,False,False,False,False,False,False,False,False,False,False,False
Vamos la puta que los parió !!!  morite tesis,vamos puta parió morite tesis,False,False,False,False,True,False,False,False,False,False,False
morite maricona,morite maricona,False,False,False,False,False,False,False,False,False,False,False
