texto,insulto,amenaza,rumores_difamatorios,comentarios_humillantes,lenguaje_discriminatorio,acoso_sexual,manipulacion_emocional,lenguaje_vulgar,acoso_general,redes_sociales,suicidio_autolesion
único quiero conseguir dinero follar modelos russell simmons,False,False,False,False,False,False,False,False,False,False,False
seniorprobs probablemente molestaría ir escuela si lidiar profesores cabrones retweet,False,False,False,False,False,False,False,False,True,False,False
axdemery maldito maricón dijeron,False,False,False,False,True,False,False,False,False,False,False
arizzleindacut mujeres piensan salir cobarde ahora lindo httptcovxbjggsz cómo hacer convierte cobarde,False,False,False,False,False,False,False,False,False,False,False
addictedguys simplyaddictedtoguys httptcojlhizmf guau guau chico caliente canalla,False,False,False,False,False,False,False,False,False,False,False
adorebellaaa alguna vez pedido perra acompañe perras voz kanye,False,False,False,False,False,True,False,False,False,False,False
adorezoey cómo vas traer amiga lado juego conoces amigas juro,False,False,False,False,False,False,False,False,False,False,False
allaboutmanfeet httptcogzupfumev guau guau suelas calientes,False,False,False,False,False,False,False,False,False,False,False
allyhaaaaa déjame comer oreo lavar platos oreo jaja,False,False,False,False,False,False,False,False,False,False,False
almightywayne jetsandaswisher gook jodan perra httptcopxmganc tal vez recuperes simplemente httptcotprevwfqs,False,False,False,False,False,True,False,False,False,False,False
almightywayne joda red malone tío idiota negro podrías utilizar frases completas,True,False,False,False,True,False,False,False,False,False,False
arizonasfinest emoji berenjena dijo parecía iba gritar jajaja,False,False,False,False,False,False,False,False,False,False,False
autoworid hennessey venom gt httptcoiegmnkaj perra sexy,False,False,False,False,False,True,False,False,False,False,False
bossbytchh dice coño mojado cortina duchaahmesehwetnessltjajaja,False,False,False,False,False,False,False,False,False,False,False
brohen eaglesnation eagles necesitan ver foto acabo publicar perra acaba decir mierda racista,False,False,False,False,False,True,False,True,False,False,False
bvsedchink mierda skate maricones empujan madera balón vida httptcovbczphmt amjemiebenn,False,False,False,False,False,False,False,True,False,False,False
babyanimalpics hora baño mono bebé httptcokpwadlfr awwwwe taaaan adorable,False,False,False,False,False,False,False,False,False,False,False
baylaagottabody maldito skippy jajaja,False,False,False,False,False,False,False,False,False,False,False
beeasyjrizzy alguna vez mataste hormiga acera pensaste pasaría si tipo camino buscar sexo tontería debe haber probabilidad gt,False,False,False,False,False,False,False,False,False,False,False
beenbasedb kudabrazyy httptcoluubglyu anillos mvp perras jajaja,False,False,False,False,False,True,False,False,False,False,False
beenflynsolo gente habla mal guetobarrio niño negrata divertía muchísimo,False,False,True,False,False,False,False,False,False,False,False
bestproadvice hechos tatuajes tatuaje httptcozwnbhpdze cobarde tatuarse pezones,False,False,False,False,False,False,False,False,False,False,False
bill rt nelayden perras quieren actuar negros tantas ganas mierda lindaaaa negros actúan perras,False,False,False,False,True,True,False,True,False,False,False
bitchjones comienza adorar perra httptcorcejcjou guau guau,False,False,False,False,False,True,False,False,False,False,False
blackchiquitita vaya rt thatmanpalmer perdida piercings nalgas httptcoynguyouq puta,False,False,False,False,True,False,False,False,False,False,False
blacknerdjade ok hermana preferiría ser perra dinero encoge hombros decirme cómo funciona,False,False,False,False,False,True,False,False,False,False,False
blackmantide whalelookyhere howdydowdy marica gaywad,False,False,False,False,True,False,False,False,False,False,False
brokenpiecesmsc itsnotadam maricón leyó tweets después siquiera gracioso jajaja,False,False,False,False,True,False,False,False,False,False,False
brosconfessions perra tan desagradecida httptcoebgwbx lulwhore,False,False,False,False,False,True,False,False,False,False,False
cashandboobies secuestrado perra,False,False,False,False,False,True,False,False,False,False,False
cbbaby whitethunduh alsarabsss frijolero nota mexicano,False,False,False,False,False,False,False,False,False,False,False
ccobey aydanmccoy feliz cumpleaños negros gracias,False,False,False,False,True,False,False,False,False,False,False
chlldhoodruiner profesor dice tarea httpstcorkkvawij perra irse,False,False,False,False,False,True,False,False,False,False,False
caelang edham caelang negro comiendo puta jajaja diablos jajaja john paul dijo negro john paul httptcoosipbkprh,False,False,False,False,True,False,False,False,False,False,False
canifuckornah harían todas ustedes pequeñas perras feas calvas si dejaran fabricar maquillaje extensiones,True,False,False,False,False,True,False,False,False,False,False
carelessone leafs deben ganar maldito juego pueda causar disturbios cosas así navidadanticipada mejor empieces saquear negro,False,False,False,False,True,False,False,False,False,False,False
causewereguys volver escuela mierda grande putas asisten,False,False,False,False,True,False,False,True,False,False,False
causewereguys voy camino follarme perra httptcojtzer años,False,False,False,False,False,True,False,False,False,False,False
celeynichole whitethunduh cómo nunca traes comida auto tonto,True,False,False,False,False,False,False,False,False,False,False
chadmfverbeck si richnow aparece montón putas tinder amigo relájate traje personas,False,False,False,False,True,False,False,False,False,False,False
chandlerparsons tal vaqueros cállate coño,False,False,False,False,False,False,False,False,False,False,False
clicquotsuave lmaooooooooooo negro krillznuhcare httptcoaanpsujmyi ltla perra quiere gusta alguna mierda deprimente joder,False,False,False,False,True,True,False,True,False,False,False
coleycee lilaerii chica sabes escupiendo mierda g diciendo lbvsperra favor,False,False,False,False,False,True,False,True,False,False,False
coleycee déjame hacer par tweets página cuzzo así iré cárcel twitter jajaja perra engañes vez,False,False,False,False,False,True,False,False,False,False,False
comedyposts harlem shake solo excusa volverse completamente estúpido segundos,True,False,False,False,False,False,False,False,False,False,False
comedytruth amén miley httptcopkbtfyxrestá bien necesita actuar puta solo dañada emocionalmente,False,False,False,False,True,False,False,False,False,False,False
corybandz tener mujer leal mejor tener putas importa,False,False,False,False,True,False,False,False,False,False,False
crhedrys coño lamido miau miau stopwhitepeople httpstcokeegdcjsk,False,False,False,False,False,False,False,False,False,False,False
dbabholloway miren hombre número cowboysnation incluso fanáticos maricas nueva york gradas,False,False,False,False,True,False,False,False,False,False,False
dgotbricks pasó perras zorras corrieron tiraron lado si perras colinas,False,False,True,False,False,True,False,False,False,False,False
daedavidavie whitethunduh perra acuerdo desnudos pat guau,False,False,False,False,False,True,False,False,False,False,False
devilgrimz vigxrarts maldito gay puta incluida lista negra modos espero tehgodclan httptcoxuccwoetmn,False,False,False,False,True,False,False,False,False,False,False
diamondloudkush diablos pasa perras nadie sabe,False,False,False,False,False,True,False,False,False,False,False
dietrich cállense p hace quejarme,False,False,False,False,False,False,False,False,False,False,False
dionairish odio perras tipo embarazada,False,False,False,False,False,True,False,False,False,False,False
doyouq recibo mensajes dm nunca leo top,False,False,False,False,False,False,False,False,False,False,False
domworldpeace temporada béisbol ganar yankees aquí comenzó amor,False,False,False,False,False,False,False,False,False,False,False
dommoneek estúpido perra meto contigoooooo,True,False,False,False,False,True,False,False,False,False,False
dreadheadari realmente preguntó serio pude decir perra guau lol,False,False,False,False,False,True,False,False,False,False,False
dunderbail pájaro madrugador búho nocturno así sabio gusanos,False,False,False,False,False,False,False,False,False,False,False
edgarpixar sobredosis drogas fuertes suena tan mal noche hago estupidez días,False,False,False,False,False,False,False,False,False,False,False
elgrillo pitbulls fotografiados adorables criaturas cuentos hadas httptcoqsmoolh criaturas cuentos hadas,False,False,False,False,False,False,False,False,False,False,False
ferociousghost stnamebravo aw maricón tuitees aw jajaja,False,False,False,False,True,False,False,False,False,False,False
flokid mientras lakers sigan haciendo destrozos partir ahora importa real cc benballer jajaja,False,False,False,False,False,False,False,False,False,False,False
frosstyy hrheyd dije bésame maricón,False,False,False,False,True,False,False,False,False,False,False
funnypicsdepot corte pelo dice juego fútbol engaño chicas uso pantalones cargo color caqui httptcozuaiqwbir,False,False,False,False,False,False,False,False,False,False,False
gstatus vendría bien perra gorda regazo mismo,True,False,False,False,False,True,False,False,False,False,False
gedmelle llamadas perdidas zorra po twitter va gritar freemoneymelle,False,False,True,False,False,True,False,False,False,False,False
gtmal perra lado debe saber reglas mierda alguien preguntó prima jersey pensando mudarse lmmfao,False,False,False,False,False,True,False,True,False,False,False
gagatom malefoot amo pies httptcoqehdkki joder si,False,False,False,False,False,False,False,False,False,False,False
girlthatsvonte zorras piensan meat dará paliza así hermano,False,False,True,False,False,True,False,False,False,False,False
girlthatsvonte ustedes perras aristas hablan,False,False,False,False,False,True,False,False,False,False,False
girlthatsvonte seguirán yendo pedir dulces año claro voy ser bandido goloso roba bolsas perras cosas,False,False,False,False,False,True,False,False,False,False,False
girllssues quiero tener sexo mamá cogérmela justo coño salí maldita hackearon mierda,False,False,False,False,False,False,False,True,False,True,False
gizzyjones si besa ojos abiertos cuida perra lmfao,False,False,False,False,False,True,False,False,False,False,False
goofstroop cabrón podría haber hecho,False,False,False,False,False,False,False,True,False,False,False
gottiltf feliz cumpleaños negro idiota jetsandaswisher aprecio rollito zorra,True,False,True,False,True,True,False,False,False,False,False
hbmostdope jayee pipinhoes solía mandar perra arriba,False,False,False,False,False,True,False,False,False,False,False
hbmostdope perras feas si propia wcw claro perra nadie,True,False,False,False,False,True,False,False,False,False,False
halotgmg stnamebravo negro sabes unas putas hacky sack hago pases mirada jajaja,False,False,False,False,True,False,False,False,False,False,False
heartlessfuck alegro irme atlanta montón negros entran salen cárcel unas zorras estúpidas niños locos follándoselas,True,False,True,False,True,True,False,False,False,False,False
hermosaalma gueto inteligente httpstcompazqjswf importa haga,False,False,False,False,False,False,False,False,False,False,False
hiimjorib casaría puta sólo importaría engañarnos mutuamente forzar relación primer lugar,False,False,False,False,True,False,False,False,False,False,False
hornyfacts soltera excusa ser puta theonemissluu,False,False,False,False,True,False,False,False,False,False,False
hoskinsty chico blanco perra poderosa perra negra poderosa,False,False,False,False,False,True,False,False,False,False,False
hudgens emborrachémonos cogamos mamada escupamos mierda porros follemos zorras blancos tranquilidad,False,False,True,False,False,True,False,True,False,False,False
iscoutgirls verballyabrupt perra dónde alrededor mundo regreso dónde,False,False,False,False,False,True,False,False,False,False,False
itsyahboiray anelylove si mala perra chupa polla fiesta voy hacerla explotar anelylove,False,False,False,False,False,True,False,True,False,False,False
itsyesie oomf taaaan lindo probablemente putas encima,False,False,False,False,True,False,False,False,False,False,False
jayten cada caricatura siempre nuffsaid salvando zorras jajaja httptcoukdwtzx jajaja maldito capitán saveahoe,False,False,True,False,False,True,False,False,False,False,False
jreebo quién quiere meter nariz chicos malos entonces scally chav sockfetish stinking httptcofeqxgnwi medias piernas calientes,False,False,False,False,False,False,False,False,False,False,False
jamesynba ojalá perra hermano keezy ooooow apuesto,False,False,False,False,False,True,False,False,False,False,False
jasminepore si disfrazaste gato halloween básicoo gatito,False,False,False,False,False,False,False,False,False,False,False
jewelxo puede pornhub tener función transmisión juegos tontas perras puedan irse pornhub manos obra katielt,True,False,False,False,False,True,False,False,False,False,False
joebudden dejen tener miedo estrangularla sexo negros cabrones encantará dice tipo golpea mujeres cama,False,False,False,False,True,False,False,False,False,False,False
johnnyperez whitethunduh ja bueno supongo hago putas leales hermano nunca leales así putas negro,False,False,False,False,True,False,False,False,False,False,False
kazatta takehov oh hombre m drogado dónde diablos semilla arreglado,False,False,False,False,False,False,False,False,False,False,False
kelsiebelsi hombre si refieres todas chicas perras,False,False,False,False,False,True,False,False,False,False,False
keyshawnswag jajaja gato empezó golpearme loco colega fin consiguió sexo colega,False,False,False,False,False,False,False,False,False,False,False
keyshawnswag despega despega tráelo nuevo hacia arriba rebobina mueven shaq línea quién diablos dijo basura,False,False,False,False,False,False,False,False,False,False,False
kingcuh stanleys io io alu record ho vine sai pe jajajaja jajaja modos jaja,False,False,False,False,False,False,False,False,False,False,False
kinghendo vondreaam vieja cinta nueva portada próximo mixtape kingofthehill esperando perra mayne,False,False,False,False,False,True,False,False,False,False,False
kingteej viejas perras pies sucios pareció gracioso,False,False,False,False,False,True,False,False,False,False,False
kingshawn whitethunduh ahí obtengo banderas amarillas ser increíble demonios negro,False,False,False,False,True,False,False,False,False,False,False
kissmysmilee tiempo perras actúen manera sospechosa,False,False,False,False,False,True,False,False,False,False,False
knightfanneal ucfpinkparty vamos seguir vida nación caballeros sigue siendo oferta madrugadores comeatmeut,False,False,False,False,False,False,False,False,False,False,False
kyranadiya putas leales httptcohubsvbkgl pregunto nadie decente quiere,False,False,False,False,True,False,False,False,False,False,False
lcistj amigo ustedes sementales siguen pensando blando demonio pregúntenle chica cuántas veces gritó perra ah vale cállate adiós pta,False,False,False,False,False,True,False,False,False,False,False
lodycash perras coños secos siempre echan culpa condón,False,False,False,False,False,True,False,False,False,False,False
lunaraps cierra perra boca httpstcoiemnugm,False,False,False,False,False,True,False,False,False,False,False
laflaregodjosh gucci mane cárcel lanza mixtapes meses ustedes zorras siquiera pueden responder mensajes,False,False,True,False,False,True,False,False,False,False,False
latrobemark amas zorras dinero pasa negros,False,False,True,False,True,True,False,False,False,False,False
lebronvuitton perra fiel suburbios problemas padre encontrar mewtwo holográfico suena allí jajaja,False,False,False,False,False,True,False,False,False,False,False
lilfridayhoe corrida fácil puta fácil hecho,False,False,False,False,True,False,False,False,False,False,False
lifeasbros charlie sheen demasiado real httptcogggdkkov respeto charlie sheen,True,False,False,False,False,False,False,False,False,False,False
lightskingawdd ojalá amor todas putas,False,False,False,False,True,False,False,False,False,False,False
lilmike joder perra twerking sabes cocinar,False,False,False,False,False,True,False,False,False,False,False
linniekravitz wesgodlaflare perra wtf httptcodasmycxodb,False,False,False,False,False,True,False,False,False,False,False
lipethegreat hrheyd lipethegreat cállate zoe pelea conmigo coño zoe bien hombre bien señora sigue adelante ahora,False,False,False,False,False,False,False,False,False,False,False
lolaaisdope jajaja malditas perras serpientes em,False,False,False,False,False,True,False,True,False,False,False
loveableaizah putas grandes traseros todas partes carajo maldita,False,False,False,False,True,False,False,True,False,False,False
mlbnetwork atentos mlbnetwork obtener actualización informe b yankees teixeiramark juego semanas dliming bum,False,False,False,False,False,False,False,False,False,False,False
mrad dezdlt corte pelo juego fútbol engaño chicas uso pantalones cargo color caqui httptcotycihdpkw jajajasoccerboy,False,False,False,False,False,False,False,False,False,False,False
madflyentist oregon ahoga años programa basura salir campo rft,False,False,False,False,False,False,False,False,False,False,False
mannydiesel definitivamente vaquero lol rt artoffloyd terrell owens mejor eagle cowboy tiempos tipo lloró perra televisión romo,False,False,False,False,False,True,False,False,False,False,False
markroundtreejr lmfaoooo odio gente negra httpstcornvdnlcdr gente negra negros,False,False,False,False,True,False,False,False,False,False,False
master tolife gabrielastarr cómo pudiste hacerme perra potente,False,False,False,False,False,True,False,False,False,False,False
maxmayo httptcojkkrx muchacho borracho desmayado lamería suelas sucias mientras duerme,False,False,False,False,False,False,False,False,False,False,False
maxmayo httptcoprrskknqrv encanta chico fraternidad suelas largas suaves,False,False,False,False,False,False,False,False,False,False,False
maxmayo httptcoxpscmakgj chico sexy suelas arcos calientes,False,False,False,False,False,False,False,False,False,False,False
megamindnick whitethunduh amigo engañar putas depende mujer siento así,False,False,False,False,True,False,False,False,False,False,False
meshanojas vontethekidd problemas jajaja,False,False,False,False,False,False,False,False,False,False,False
migsmichelen nuevo twitter confundiendo muchísimo vuelve sudamérica perra,False,False,False,False,False,True,False,False,False,False,False
miikitox toto significa culo vagina creo coño toto santi coño asqueroso,False,False,False,True,False,False,False,True,False,False,False
mikelahenry pasa si realmente elige perra fea lugar trasero debe ser gordo,True,False,False,False,False,True,False,False,False,False,False
mileycyrus perra podría matar onda aunque intentara amo miley,False,True,False,False,False,True,False,False,False,False,False
montrell cansado perras digan parezco malo nigga grandote usas camisetas ajustadas pones mala cara mundo,False,False,False,False,False,True,False,False,False,False,False
motherjones aves nietos tal vez nunca vean gracias cambio climático httptcoxqmxhkaswt httptcorbitegrnhm clima,False,False,False,False,False,False,False,False,False,False,False
mvckfadden sigue siendo hermosa perra,False,False,False,False,False,True,False,False,False,False,False
nickiminaj wutkinda r purple ceeeleee hombre chica solo tocando canción stupid hoe aun así cagó chicas,False,False,False,False,False,False,False,False,False,False,False
nastycopper dinero hace grande perras ven borrosas,False,False,False,False,False,True,False,False,False,False,False
newsomejade nunca visto perra tan obsesionada negro obsesionada,False,False,False,False,True,True,False,False,False,False,False
nicholasted kobe sigue hablando tonterías olvidemos httptcovhtnekvtp jaustin pensado hacer smh,False,False,False,False,False,False,False,False,False,False,False
nochillpaz menos negro httptcorgjacfoit lmfao,False,False,False,False,True,False,False,False,False,False,False
nofakingg gente siempre pregunta mezclado perra asiática malvada jajaja,False,False,False,False,False,True,False,False,False,False,False
notoriousbm whiteponyjr ariza serpiente cobarde menos lisiado héroe roach jajaja,False,False,False,False,False,False,False,False,False,False,False
osayitaintso ignorealllaws hogar acogida basura imaginaria guau genial programa,False,False,False,False,False,False,False,False,False,False,False
officialreplay cansado si cansado cállate vete dormir puta,False,False,False,False,True,False,False,False,False,False,False
prayingforhead macklemroe deja incluir negros raros menciones prayingforhead httptcocussdjesrk,False,False,False,False,True,False,False,False,False,False,False
prettybossbrat amamos putas,False,False,False,False,True,False,False,False,False,False,False
patrickquelo si chica puede tener amigos negro débil perra,False,False,False,False,True,True,False,False,False,False,False
patsfanjoe dpalomino creo peor consejo di cobarde acelera jajaja,False,False,False,False,False,False,False,False,False,False,False
poemsporn cita tweet animal favoritopussy,False,False,False,False,False,False,False,False,False,False,False
poeticsuccess odio strippers dicen bailarinas joder bailarinas ballet mueven coño ritmo beethoven stripper,False,False,False,False,False,False,False,False,False,False,False
poffalicious andrewbryant poff visión doble después cervezas poff doble coño smh,False,False,False,False,False,False,False,False,False,False,False
poobie perras hacen twerk computadora maldita,False,False,False,False,True,True,False,True,False,False,False
prodsjewel sreadthepeace yungmindless peacepunkprince príncipe arte httptcoephrwxmbhr nadie lleva perra,False,False,False,False,False,True,False,False,False,False,False
quant asistencia social gubernamental solicitan personas blancas así ahora todas calumnias negros basura,False,False,False,False,True,False,False,False,False,False,False
quant perras importa sólo juegan papel,False,False,False,False,False,True,False,False,False,False,False
queenkaaat tomó tiempo encontrarme escondida tilo iemonaids perra árbol equivocado hermano,False,False,False,False,False,True,False,False,False,False,False
rtnba nuevas zapatillas drake lanzará nikejordan brillo zapatillas httptcoqctplxhexm tipos maricas,False,False,False,False,True,False,False,False,False,False,False
rachiesoul dizzleofficial gueto solo jajaja,False,False,False,False,False,False,False,False,False,False,False
ramboutit master tolife ramboutit putas austin enséñanos austin enseño cómo hacerte curvas sé,False,False,False,False,True,False,False,False,False,False,False
reachtheeclimax perras saben cocinar saben chupar pollas gracias pueden hacer ambas cosas,False,False,False,False,False,True,False,True,False,False,False
renegademo putas gordas elegidas jajaja,True,False,False,False,True,False,False,False,False,False,False
riahsm hoesaintloyal bueno putas nadie espera leales,False,False,False,False,True,False,False,False,False,False,False
rishaawilliams treshonscrooge nevertrustt ol puta culo httptcoamcoinywg,False,False,False,False,True,False,False,True,False,False,False
rnadjorell amigo cansado negros retuiteen miley cyrus desnuda perra mala jajaja,False,False,False,False,True,True,False,False,False,False,False
sactownprodigy hecho tony romo partido mavs significa idiota jajaja jodan vaqueras jaja idiota jódete,True,False,False,False,False,False,False,False,False,False,False
samjlayman mierda freddie highmore charlie fábrica chocolate ruedo suelo riendo,False,False,False,False,False,False,False,True,False,False,False
samirahusic quiero tener sexo novia siento usando anónimo maricón,False,False,False,False,True,False,False,False,False,False,False
sexualgxfs seguidores httptcoftjlxnct alguien perra si haces,False,False,False,False,False,True,False,False,False,False,False
shaajenkins si perra siempre queja claro importa simplemente perra molesta,False,False,False,False,False,True,False,False,False,False,False
shantaughther putas bagres creen hábiles negros dando cuenta,False,False,False,False,True,False,False,False,False,False,False
shewenttojordan puedo preocuparme perra preocupa real,False,False,False,False,False,True,False,False,False,False,False
showarrive putas secundarias negros inseguros pueden manejar verdad,False,False,False,False,True,False,False,False,False,False,False
shunstokes rt bluprint jajaja perra entró corriendo tienda si punto cagarla,False,False,False,False,False,True,False,False,False,False,False
shunstokes primo dijo comparte azadas hermanos dijo compartir cuidar ama hermanos,False,False,False,False,False,False,False,False,False,False,False
slimgirlprobz hambre quiero gastar dinero comida problemas puta quiebra,False,False,False,False,True,False,False,False,False,False,False
smeegbaby zorras mienten negro,False,False,True,False,True,True,False,False,False,False,False
snakecharmsdump httptcobdqzcv oh joda perra,False,False,False,False,False,True,False,False,False,False,False
sportscenter eli manning acaba lanzar intercepción número temporada líder nfl jajaja basura,False,False,False,False,False,False,False,False,False,False,False
sportscenter corredor senior usc anthony brown llama racista entrenador principal steve sarkisian abandona equipo httptcojoosdsubir idiota,True,False,False,False,False,False,False,False,False,False,False
stellatex adivina tampoco tiempo explicaciones masculinas adiós cállate mariquita,False,False,False,False,False,False,False,False,False,False,False
stephenwildboy escalofriante httptcomikipnle chico sexy canalla,False,False,False,False,False,False,False,False,False,False,False
strap voy compartir ninguna perra si minas minas,False,False,False,False,False,True,False,False,False,False,False
sukmysweetness dinero sólo impresiona perras simples dinero,False,False,False,False,False,True,False,False,False,False,False
sylvieamx piscis nunca perra nadie dejan gente controle cambie rigghhht,False,False,False,False,False,True,False,False,False,False,False
teejonez stanleys kingcuh tuku ho sé bla bla bla,False,False,False,False,False,False,False,False,False,False,False
teejonez kingcuh stanleys enojado cuh jajaja seguro tuku ho ita,False,False,False,False,False,False,False,False,False,False,False
tayknosbest putas locas,False,False,False,False,True,False,False,False,False,False,False
taylorrbabee nunca perra slice kevin hart,False,False,False,False,False,True,False,False,False,False,False
thatniggatroy oomf aunque tan jodidamente bien maldita perra,False,False,False,False,False,True,False,True,False,False,False
thegamerkingkev pregunto si chica hizo mamada chicos cambio copa magaluf twitter probablemente envía fotos desnudas maricones,False,False,False,False,False,True,False,False,False,False,False
thenewsat newsatquestions perra perra llámame tal vez b steveo c tarde d jesse pinkman machinegunkelly,False,False,False,False,False,True,False,False,False,False,False
thenymphotweets chupetones muslos justo lado coño gtgtgt único correcto,False,False,False,False,False,False,False,False,False,False,False
theonemissluu seguirías amando joven hermosa mono feo,True,False,False,False,False,False,False,False,False,False,False
therealrickyb jetsandaswisher gook pasen frente perra voy ir,False,False,False,False,False,True,False,False,False,False,False
therealrickyb jetsandaswisher maricón perra httptcohyyabkeh,False,False,False,False,True,True,False,False,False,False,False
therealistsam madrid ipad trabajo viernes vamos darle paliza maricón tropicalblanket trabajo,False,False,False,False,True,False,False,False,False,False,False
theo httptcobyjhoyhmg chico sinvergüenza conseguiría,False,False,False,False,False,False,False,False,False,False,False
theomaxximus gerryshalloweenparty httptcoycrsrnjhc halloween ayer negro estúpido,True,False,False,False,True,False,False,False,False,False,False
theomaxximus chrus sigue siendo súper sexy acerca profesor examen deja caer examen cabeza httptconbvgdssgi,False,False,False,False,False,False,False,False,False,False,False
thornton kantkeepahbytch encanta comer coños jajaja nunca lleno jajaja puedo comer mierda siempre jajaja siempre,False,False,False,False,False,False,False,True,False,False,False
tmaccgfg voiceofdstreetz tmaccgfg tizzimarie granizados modos zorras desagradables familiaesas zorras saben medicamentos,False,False,True,True,False,True,False,False,False,False,False
